source,target,prob
horn,bia,0.06920611053786391
horn,cuc,0.05756766932908523
horn,ngo,0.05690530276514783
horn,ðuc,0.055223555141099556
horn,ðen,0.053762670807760864
horn,giua,0.037818114653143525
horn,thu,0.03617583702885431
horn,tho,0.03417374959323608
horn,đua,0.02418876240914042
horn,đat,0.01668382688087104
horn,tat,0.013080610505446573
horn,thanh,0.010820587663930481
horn,trong,0.00909875329742985
horn,te,0.0077480435337934596
horn,ca,0.005599316194617981
horn,chua,0.005004346334734741
long,tot,0.06598760854251032
long,thanh,0.06209765330395473
long,cay,0.05926148836151527
long,va,0.03647319889391475
long,nguoi,0.03614792181575925
long,cua,0.03544212861716397
long,la,0.032601853541012346
long,cho,0.02190776089464892
long,lam,0.021289813110082573
long,thien,0.018517754274711168
long,đep,0.018251621548418952
long,cong,0.018183901430110727
long,đuoc,0.01797927075995865
long,chinh,0.016432764483668556
long,đa,0.01558401714179534
long,su,0.015279541693158283
long,nhung,0.014458929382619844
long,đuc,0.013446726897733834
long,ma,0.012429629827471598
long,than,0.012017224289321183
lam,trong,0.31306867017611484
lam,nguoi,0.04373340163789932
lam,va,0.03817690127077082
lam,o,0.030308300747677482
lam,cua,0.029542019768968725
lam,cac,0.02468269006802493
lam,vao,0.01952733590309474
lam,se,0.016586492739080073
lam,ra,0.014454482546538054
lam,đo,0.014300391958385126
lam,ta,0.014276058997219818
lam,con,0.014078356061823628
lam,đa,0.014014445476653911
lam,co,0.012777045800123751
lam,cho,0.011606474957278132
lam,ho,0.011363169295439238
lam,nhung,0.01114241196429195
lam,thanh,0.011131084088856671
lam,mot,0.010900893917778168
lam,lam,0.010792346603268775
hloh,hon,0.2717197237801912
hloh,hieu,0.09542338677666659
hloh,đao,0.04806085411871138
hloh,binh,0.03505272351145517
hloh,cac,0.028882991997564264
hloh,la,0.024238242292892325
hloh,chua,0.018068694512091355
hloh,nguoi,0.017587809307044507
hloh,toi,0.017172400209293164
hloh,cua,0.016029880866831964
hloh,cao,0.013985500067179009
hloh,ðang,0.013680227516253779
hloh,đuoc,0.012635594832348456
hloh,nhung,0.011142294806022668
hloh,con,0.011056788196377265
hloh,the,0.01077558885234364
hloh,qua,0.010066686911545584
hloh,va,0.009119423676775039
hloh,phan,0.009084534802752158
hloh,vi,0.008568108257923684
pogdp,giao,0.23956396518339762
pogdp,uoc,0.19867600109354325
pogdp,lap,0.12356172507411263
pogdp,quoc,0.056277320531331776
pogdp,vuong,0.05351745840130743
pogdp,mot,0.03646883012755944
pogdp,nhat,0.03501801312099864
pogdp,thong,0.034885753064108814
pogdp,hao,0.03347742971159485
pogdp,voi,0.02635751967720201
pogdp,đa,0.022643031360136488
pogdp,thanh,0.02258074477927283
pogdp,ta,0.015084761532789986
pogdp,đat,0.014883852857897542
pogdp,va,0.01483842652786266
pogdp,nguoi,0.008403984114174895
pogdp,thuoc,0.008177041361374817
pogdp,ho,0.0032282963106851255
pogdp,truyen,0.0028889398526182187
pogdp,ðuc,0.0028349829449916247
kra,chua,0.21126470699542474
kra,ðuc,0.1284772895103626
kra,gie,0.08307662618104454
kra,đuc,0.07693072835693333
kra,va,0.05604872239140783
kra,ho,0.049616158459714184
kra,phan,0.03518374357028827
kra,cua,0.033561625338061965
kra,nguoi,0.025574027706339274
kra,ngai,0.017556971274790917
kra,se,0.012150234544543498
kra,cac,0.011749501431412927
kra,đa,0.011445753854299665
kra,ta,0.011143839043473183
kra,la,0.009803023458787684
kra,cho,0.009321753269556678
kra,gia,0.008634246219632113
kra,ra,0.007111661998052296
kra,chung,0.006536353059507485
kra,rang,0.006096284029516908
m,nguoi,0.10174856198835594
m,cac,0.06333162689887017
m,no,0.04715186913464495
m,va,0.03994814700301897
m,cua,0.035728862729207764
m,cung,0.02971747186446598
m,se,0.02705071757867022
m,lai,0.02540322993067341
m,co,0.02285205074257266
m,canh,0.0210507413730607
m,ra,0.020959245344810445
m,đe,0.02040957757885067
m,lam,0.020008834580149844
m,vi,0.019396296600848115
m,voi,0.01891845360213723
m,ta,0.018330085809149455
m,chua,0.017536952734095744
m,ðuc,0.017389544591459975
m,đang,0.01631420326583337
m,ma,0.014561741424137208
wa,đe,0.11839852354401662
wa,cho,0.045189600295685715
wa,nguoi,0.03961030102829126
wa,muon,0.03671711535945286
wa,toi,0.02653174662750911
wa,ta,0.022208289357494373
wa,lam,0.020911964301256195
wa,va,0.019907992180599812
wa,la,0.019682325799335418
wa,chung,0.01838776634779563
wa,đa,0.017567791223825457
wa,nhung,0.017353764895673477
wa,cua,0.015899288696152966
wa,co,0.015869734081065286
wa,ma,0.01474441889942381
wa,phai,0.014339732800702444
wa,đang,0.013901929807734997
wa,đen,0.013728766475940424
wa,se,0.013690737953725312
wa,con,0.013326512231390673
tah,vao,0.2385898371605939
tah,bo,0.05639268963756262
tah,đe,0.0464217858671797
tah,cai,0.04466432743730211
tah,roi,0.03660199534533034
tah,kho,0.023228338434063394
tah,nguc,0.022548021955341828
tah,trong,0.021722287972770277
tah,tu,0.020777253893102077
tah,đo,0.020674955888312516
tah,nhung,0.020532475843703556
tah,giam,0.01853189890254276
tah,đat,0.01671448645617865
tah,va,0.016507046710352767
tah,bao,0.016295741151452728
tah,sanh,0.013040677768961674
tah,bi,0.012079922096913746
tah,tong,0.011605327799258155
tah,cua,0.010746945414345907
tah,thung,0.010131425138650625
perm,lam,0.1468564208555456
perm,cho,0.0785222851577992
perm,nguoi,0.05870279907726003
perm,lc,0.0357943855109053
perm,bang,0.03192463137085957
perm,6,0.024776048758781366
perm,loi,0.024051651810486626
perm,9,0.022085544260661172
perm,khap,0.01999133532285437
perm,rao,0.019026164658022378
perm,khac,0.018179456013658217
perm,17,0.018070094980010474
perm,2,0.018069372802368942
perm,18,0.01806859104189461
perm,mt,0.018062230302681805
perm,1,0.0180614261836477
perm,ta,0.017611919736909277
perm,la,0.017429277855927523
perm,ru,0.017141746443379544
perm,no,0.016788779691039403
todrong,su,0.07430644513076341
todrong,đieu,0.054652652063191205
todrong,cua,0.034077871910353226
todrong,viec,0.03241104906649278
todrong,lam,0.028279457624991
todrong,nguoi,0.025511037952551975
todrong,va,0.022781841231185894
todrong,cho,0.022740810911274854
todrong,đa,0.02261875015395892
todrong,nhung,0.021116628257025098
todrong,la,0.02102258493368785
todrong,toi,0.017069764076998714
todrong,vi,0.014264114134866912
todrong,ta,0.013758479213551106
todrong,chung,0.013505357890018204
todrong,đuoc,0.013254031667438427
todrong,cac,0.013059466566562757
todrong,chua,0.012181088691259057
todrong,co,0.01217298740394064
todrong,loi,0.011506018804920352
anih,noi,0.20122054331208003
anih,o,0.06898067483687594
anih,cua,0.05836606484335992
anih,cho,0.044045614303755594
anih,va,0.03163768108328116
anih,thanh,0.028474224783587094
anih,cac,0.02833548904586519
anih,đen,0.024165450700037033
anih,nguoi,0.023745286691083126
anih,tai,0.022990704184526436
anih,đo,0.022242233670884834
anih,trong,0.01952934873389216
anih,đa,0.013322777920112275
anih,la,0.011850370855861641
anih,trai,0.011458961522622511
anih,se,0.011136068941708006
anih,mot,0.009995935379163995
anih,ra,0.009921285520302869
anih,phong,0.009602462273428439
anih,ta,0.008918035851530821
rogoh,thanh,0.4727245139295709
rogoh,sach,0.13783250193236735
rogoh,cua,0.025883034874975223
rogoh,rieng,0.023135934470574705
rogoh,tinh,0.01979204066434293
rogoh,va,0.01890706982265673
rogoh,le,0.01776348156683549
rogoh,nguoi,0.01435706502182062
rogoh,la,0.014077880499826374
rogoh,cac,0.013149733583779227
rogoh,vat,0.012193844405198
rogoh,se,0.01160002753339144
rogoh,nen,0.010773054178670138
rogoh,lam,0.010024884665139198
rogoh,cho,0.009417976703664767
rogoh,đien,0.007706329444902425
rogoh,đo,0.006979759153131851
rogoh,đuoc,0.006858390240990262
rogoh,dung,0.006014505885313594
rogoh,trong,0.005910877067986229
in,nhu,0.1519606850298049
in,bin,0.07917544948403035
in,ta,0.056578861805999435
in,đia,0.03970259601437587
in,ban,0.03547893469982898
in,giong,0.03427029326430475
in,thom,0.03214637813075269
in,va,0.031493418395433855
in,the,0.02990182521094336
in,nguyen,0.029622657883859888
in,than,0.026600541168463318
in,gioi,0.024935388555872202
in,cac,0.02379191517199042
in,lenh,0.022930539009902676
in,phu,0.022704719813296772
in,mot,0.020517031502843057
in,tuan,0.017172924883789045
in,nhau,0.014913227963621016
in,đuong,0.014330040849242725
in,ngay,0.013422932410965108
anu,nay,0.1627390772290869
anu,co,0.09987338453949225
anu,nguoi,0.09453685863093943
anu,khong,0.053408300017604174
anu,mot,0.0525287117310145
anu,chi,0.035918246309285806
anu,đay,0.02479600697079831
anu,em,0.02212700593061204
anu,may,0.019076366402910085
anu,con,0.01887030665315986
anu,đuoc,0.01820534084336868
anu,nao,0.01813162117231901
anu,cai,0.016832039136313173
anu,đua,0.01573395366420822
anu,anh,0.01402090476482718
anu,roi,0.01275555283753363
anu,noi,0.011573534681756103
anu,đo,0.011429827507618735
anu,ma,0.011413180674657847
anu,toi,0.01112024771264077
adrech,toc,0.10949371010868815
adrech,chi,0.08676657470194701
adrech,nha,0.06464157065300831
adrech,cua,0.05627592064421807
adrech,phai,0.04156560595099606
adrech,ho,0.03441682125273723
adrech,nguoi,0.03376989872406889
adrech,se,0.03287225957623671
adrech,ra,0.03214257948681927
adrech,cac,0.03205052480225145
adrech,dong,0.026875847557574155
adrech,dan,0.026485819212374362
adrech,phan,0.02646198722820356
adrech,so,0.025177673548759702
adrech,la,0.024097631608761643
adrech,en,0.021658431252668222
adrech,gia,0.019273209751672942
adrech,va,0.017770862830309143
adrech,con,0.016230825037006704
adrech,doi,0.01519506870711524
jul,xuong,0.4173265025030044
jul,gieo,0.140449530126564
jul,chuc,0.11462546593754128
jul,trong,0.08644690191038586
jul,tra,0.07063737614723718
jul,đem,0.07063737614723718
jul,đe,0.03654439518863075
jul,ha,0.012716121128136275
jul,thoi,0.01244983644097152
jul,khieng,0.006124619025231319
jul,khap,0.006049782016708749
jul,nhat,0.0038282729728587447
jul,chu,0.0037101771349188854
jul,hai,0.0036226031982625547
jul,hay,0.003307422968122401
jul,ke,0.0022706190981999093
jul,hom,0.001588731002621278
jul,qua,0.0012033986610936226
jul,roi,0.000837230773624441
jul,đi,0.0008063513297005431
jorong,sau,0.5783293219673481
jorong,than,0.13283621260196826
jorong,đuc,0.11177958428140052
jorong,keo,0.11128378015367754
jorong,benh,0.06577110099560546
pha,rieng,0.16670251011967208
pha,khac,0.0818434068826257
pha,con,0.07729611173300066
pha,pha,0.06923890592347397
pha,biet,0.03367441645102462
pha,rang,0.025809583104967507
pha,la,0.022334920667810655
pha,tach,0.01937969997709658
pha,đuc,0.019371079321274756
pha,tat,0.01745154751344303
pha,va,0.017337246071553437
pha,ra,0.013190146131547398
pha,ponang,0.013070512709929915
pha,khuyet,0.012228743694573338
pha,bang,0.01160880138974216
pha,homol,0.01158340023589576
pha,cua,0.011581943096753552
pha,cai,0.011191682650229243
pha,li,0.011101022363842071
pha,đau,0.010208814433727764
le,nguoi,0.04294668807051627
le,đa,0.042800515017046674
le,đe,0.042121395716279805
le,bo,0.037655392075976166
le,ta,0.03242807883861631
le,cac,0.030968252227258988
le,cua,0.028526555277018625
le,va,0.027635667465402646
le,lai,0.026182645179975112
le,cho,0.025690171365672317
le,no,0.024297919493122336
le,chung,0.023449454564398738
le,đi,0.023395260324334696
le,con,0.02186048364875698
le,nhung,0.01952750881255705
le,se,0.01775119197244234
le,ra,0.017277356526415027
le,nhu,0.011890523313458414
le,su,0.011361934440360358
le,ma,0.011285185284076278
nghe,nghe,0.5502781920016105
nghe,lang,0.15223516795824005
nghe,thon,0.0611012086484996
